Uniqueid,Common_Name,Scientific_Name,Second_Common_Name,eBird_Code,Name_Code,Old_Code,Habitat_specialization,Migratory_Status,Foraging_pref_1,Foraging_pref_2,Diet_type_1,Diet_type_2
125,Brown-cheeked Fulvetta,Alcippe poioicephala,,BCFU,BCFU,,Woodland,Resident,Understory,,Insectivorous,
126,Common Babbler,Turdoides caudata,,COBA,CBAB,,Generalist,Resident,Ground,,Omnivorous,
127,Large Grey Babbler,Turdoides malcolmi,,LGBA,LGBA,,Generalist,Resident,Ground,,Omnivorous,
128,Jungle Babbler,Turdoides striata,,JUBA,JUBA,,Generalist,Resident,Ground,,Insectivorous,
129,Indian Nuthatch,Sitta castanea,,INNU,INNU,,Woodland,Resident,Arboreal,,Insectivorous,
130,Velvet-fronted Nuthatch,Sitta frontalis,,VFNU,VFNU,,Woodland,Resident,Arboreal,,Insectivorous,
131,Asian Pied Starling,Gracupica contra,Pied Myna,APST,APST,,Generalist,Resident,Ground,,Omnivorous,
132,Brahminy Starling,Sturnia pagodarum,,BRST,BRST,,Generalist,Resident,Ground,,Omnivorous,
133,Chestnut-tailed Starling,Sturnia malabarica,,CTST,CTST,,Woodland,Resident,Arboreal,Understory,Omnivorous,
134,Common Myna,Acridotheres tristis,,COMY,COMY,,Generalist,Resident,Ground,,Omnivorous,
135,Jungle Myna,Acridotheres fuscus,,JUMY,JUMY,,Generalist,Resident,Ground,,Omnivorous,
136,Orange-headed Thrush,Geokichla citrina,,OHTH,OHTH,,Generalist,Resident,Ground,,Insectivorous,
137,Indian Blackbird,Turdus simillimus,,INBL,INBL,,Generalist,Summer Migrant,Ground,,Omnivorous,
138,Tickell's Thrush,Turdus unicolor,,TITH,TITH,,Woodland,Summer Migrant,Ground,,Insectivorous,
139,Indian Robin,Copsychus fulicatus,,INRO,IROB,,Generalist,Resident,Ground,,Insectivorous,
140,Oriental Magpie-Robin,Copsychus saularis,,OMRO,OMRO,,Generalist,Resident,Ground,,Insectivorous,
141,White-rumped Shama,Copsychus malabaricus,,WRSH,WRSH,,Woodland, Resident,Ground,,Insectivorous,
142,Tickell's Blue Flycatcher,Cyornis tickelliae,,TBFL,TBFL,,Woodland, Resident,Aerial,,Insectivorous,
143,Verditer Flycatcher,Eumyias thalassinus,,VEFL,VEFL,,Woodland,Winter Migrant,Aerial,,Insectivorous,
144,Malabar Whistling-Thrush,Myophonus horsfieldii,,MWTH,MWTH,,Tropical Forest,Resident,Ground,,Insectivorous,
145,Siberian Rubythroat,Calliope calliope,,SIRU,SIRU,,Wetland,Winter Migrant,Ground,,Insectivorous,
146,Ultramarine Flycatcher,Ficedula superciliaris,,ULFL,ULFL,,Woodland,Winter Migrant,Arboreal,,Insectivorous,
147,Taiga Flycatcher,Ficedula albicilla,Red-throated Flycatcher,TAFL,TAFL,,Woodland,Winter Migrant,Aerial,,Insectivorous,
148,Red-breasted Flycatcher,Ficedula parva,,RBFL,RBFL,,Woodland,Winter Migrant,Aerial,,Insectivorous,
149,Black Redstart,Phoenicurus ochruros,,BLRE,BLRE,,Generalist,Resident,Ground,,Insectivorous,
150,Siberian Stonechat,Saxicola maurus,Common Stonechat,SIST,SIST,,Generalist,Resident,Ground,,Insectivorous,
151,Pied Bushchat,Saxicola caprata,,PIBU,PIBU,,Generalist,Resident,Ground,,Insectivorous,
152,Grey Bushchat,Saxicola ferreus,,GRBU,GRBU,,Generalist,Resident,Ground,,Insectivorous,
153,Brown Rock Chat,Oenanthe fusca,Indian chat,BRCH,BRCH,,Generalist,Resident,Ground,,Insectivorous,
154,Thick-billed Flowerpecker,Dicaeum agile,,TBFL,TBFP,,Generalist,Resident,Arboreal,,Omnivorous,
155,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,PBFL,PBFL,,Generalist,Resident,Arboreal,,Omnivorous,
156,Purple-rumped Sunbird,Leptocoma zeylonica,,PRSU,PRSU,,Generalist,Resident,Arboreal,,Nectivorous,Insectivorous
157,Purple Sunbird,Cinnyris asiaticus,,PUSU,PUSU,,Generalist,Resident,Arboreal,,Nectivorous,Insectivorous
158,Jerdon's Leafbird,Chloropsis jerdoni,Jerdon's Chloropsis,JELE,JELE,,Woodland, Resident,Arboreal,,Omnivorous,
159,Golden-fronted Leafbird,Chloropsis aurifrons,Golden-fronted Chloropsis,GFLE,GFLE,,Woodland, Resident,Arboreal,,Omnivorous,
160,Baya Weaver,Ploceus philippinus,,BAWE,BAWE,,Generalist,Resident,Ground,,Granivorous,
161,Indian Silverbill,Euodice malabarica,White-throated Munia,INSI,INSI,,Generalist,Resident,Ground,,Granivorous,
162,Scaly-breasted Munia,Lonchura punctulata,Spotted Munia,SBMU,SBMU,,Generalist,Resident,Ground,,Granivorous,
163,House Sparrow,Passer domesticus,,HOSP,HOSP,,Generalist,Resident,Ground,,Granivorous,
164,Yellow-throated Sparrow,Gymnoris xanthocollis,Chestnut-shouldered Petronia,CSPE,CSPE,,Woodland,Resident,Ground,,Granivorous,
165,Grey Wagtail,Motacilla cinerea,,GRWA,GREW,GRWA,Generalist,Winter Migrant,Ground,,Insectivorous,
166,Western Yellow Wagtail,Motacilla flava,,WYWA,WYWA,,Generalist,Winter Migrant,Ground,,Insectivorous,
167,White-browed Wagtail,Motacilla maderaspatensis,Large Pied Wagtail,WBWA,WBRW,WBWA,Generalist,Resident,Ground,,Insectivorous,
168,Paddyfield Pipit,Anthus rufulus,,PAPI,PAPI,,Grassland,Resident,Ground,,Insectivorous,
